species,latinFamily,ForagingNiche_main,Tearing,Crushing,Filtering,Sweeping,Engulfing,Grazing,Hammering,Plucking,Probing,Spearing
Abeillia_abeillei,Trochilidae,Nectarivore_aerial,0,0,0,0,0,0,0,10,90,0
Abroscopus_albogularis,Sylviidae,Invertivore_glean_elevated,0,0,0,0,0,0,0,100,0,0
Abroscopus_schisticeps,Sylviidae,Invertivore_glean_elevated,0,0,0,0,0,0,0,100,0,0
Abroscopus_superciliaris,Sylviidae,Invertivore_glean_elevated,0,0,0,0,0,0,0,100,0,0
Aburria_aburri,Cracidae,Frugivore_glean,0,0,0,0,0,0,0,100,0,0
Acanthagenys_rufogularis,Meliphagidae,Generalist,0,0,0,0,0,0,0,48.6,51.4,0
Acanthidops_bairdii,Emberizidae,Invertivore_glean_elevated,0,0,0,0,0,0,0,50,50,0
Acanthisitta_chloris,Acanthisittidae,Generalist,0,0,0,0,0,0,0,46,54,0
Acanthiza_apicalis,Acanthizidae,Invertivore_glean_elevated,0,0,0,0,0,0,0,100,0,0
Acanthiza_chrysorrhoa,Acanthizidae,Invertivore_glean_ground,0,0,0,0,0,0,0,100,0,0
Acanthiza_ewingii,Acanthizidae,Invertivore_glean_elevated,0,0,0,0,0,0,0,100,0,0
Acanthiza_inornata,Acanthizidae,Invertivore_glean_elevated,0,0,0,0,0,0,0,80,20,0
Acanthiza_iredalei,Acanthizidae,Generalist,0,0,0,0,0,0,0,100,0,0
Acanthiza_katherina,Acanthizidae,Invertivore_glean_elevated,0,0,0,0,0,0,0,100,0,0
Acanthiza_lineata,Acanthizidae,Generalist,0,0,0,0,0,0,0,80,20,0
Acanthiza_murina,Acanthizidae,Invertivore_glean_elevated,0,0,0,0,0,0,0,100,0,0
Acanthiza_nana,Acanthizidae,Invertivore_glean_elevated,0,0,0,0,0,0,0,100,0,0
Acanthiza_pusilla,Acanthizidae,Generalist,0,0,0,0,0,0,0,90,10,0
Acanthiza_reguloides,Acanthizidae,Generalist,0,0,0,0,0,0,0,90,10,0
Acanthiza_robustirostris,Acanthizidae,Invertivore_glean_elevated,0,0,0,0,0,0,0,100,0,0
Acanthiza_uropygialis,Acanthizidae,Generalist,0,0,0,0,0,0,0,100,0,0
Acanthorhynchus_superciliosus,Meliphagidae,Generalist,0,0,0,0,0,0,0,27.9,72.1,0
Acanthorhynchus_tenuirostris,Meliphagidae,Generalist,0,0,0,0,0,0,0,37.2,62.8,0
Acanthornis_magna,Acanthizidae,Generalist,0,0,0,0,0,0,0,100,0,0
Accipiter_albogularis,Accipitridae,Vertivore_perch,100,0,0,0,0,0,0,0,0,0
Accipiter_badius,Accipitridae,Vertivore_perch,90,5,0,0,0,0,0,5,0,0
Accipiter_bicolor,Accipitridae,Vertivore_perch,100,0,0,0,0,0,0,0,0,0
Accipiter_brachyurus,Accipitridae,Vertivore_perch,100,0,0,0,0,0,0,0,0,0
Accipiter_brevipes,Accipitridae,Generalist,60,20,0,0,0,0,0,20,0,0
Accipiter_butleri,Accipitridae,Vertivore_perch,90,5,0,0,0,0,0,5,0,0
Accipiter_castanilius,Accipitridae,Generalist,90,5,0,0,0,0,0,5,0,0
Accipiter_chilensis,Accipitridae,Vertivore_perch,100,0,0,0,0,0,0,0,0,0
Accipiter_chionogaster,Accipitridae,Vertivore_perch,100,0,0,0,0,0,0,0,0,0
Accipiter_cirrocephalus,Accipitridae,Generalist,90,5,0,0,0,0,0,5,0,0
Accipiter_collaris,Accipitridae,Vertivore_perch,100,0,0,0,0,0,0,0,0,0
Accipiter_cooperii,Accipitridae,Generalist,100,0,0,0,0,0,0,0,0,0
Accipiter_erythrauchen,Accipitridae,Vertivore_perch,100,0,0,0,0,0,0,0,0,0
Accipiter_erythronemius,Accipitridae,Vertivore_perch,100,0,0,0,0,0,0,0,0,0
Accipiter_erythropus,Accipitridae,Generalist,60,20,0,0,0,0,0,20,0,0
