"species","Crush_task","Engulf_task","Reach_task"
"Abeillia_abeillei",3.33,3.33,93.34
"Abroscopus_albogularis",33.3,33.3,33.4
"Abroscopus_schisticeps",33.3,33.3,33.4
"Abroscopus_superciliaris",33.3,33.3,33.4
"Aburria_aburri",33.3,33.3,33.4
"Acanthagenys_rufogularis",16.1838,16.1838,67.6324
"Acanthidops_bairdii",16.65,16.65,66.7
"Acanthisitta_chloris",15.318,15.318,69.364
"Acanthiza_apicalis",33.3,33.3,33.4
"Acanthiza_chrysorrhoa",33.3,33.3,33.4
"Acanthiza_ewingii",33.3,33.3,33.4
"Acanthiza_inornata",26.64,26.64,46.72
"Acanthiza_iredalei",33.3,33.3,33.4
"Acanthiza_katherina",33.3,33.3,33.4
"Acanthiza_lineata",26.64,26.64,46.72
"Acanthiza_murina",33.3,33.3,33.4
"Acanthiza_nana",33.3,33.3,33.4
"Acanthiza_pusilla",29.97,29.97,40.06
"Acanthiza_reguloides",29.97,29.97,40.06
"Acanthiza_robustirostris",33.3,33.3,33.4
"Acanthiza_uropygialis",33.3,33.3,33.4
"Acanthorhynchus_superciliosus",9.2907,9.2907,81.4186
"Acanthorhynchus_tenuirostris",12.3876,12.3876,75.2248
"Acanthornis_magna",33.3,33.3,33.4
"Accipiter_albogularis",100,0,0
"Accipiter_badius",96.665,1.665,1.67
"Accipiter_bicolor",100,0,0
"Accipiter_brachyurus",100,0,0
"Accipiter_brevipes",86.66,6.66,6.68
"Accipiter_butleri",96.665,1.665,1.67
"Accipiter_castanilius",96.665,1.665,1.67
"Accipiter_chilensis",100,0,0
"Accipiter_chionogaster",100,0,0
"Accipiter_cirrocephalus",96.665,1.665,1.67
"Accipiter_collaris",100,0,0
"Accipiter_cooperii",100,0,0
"Accipiter_erythrauchen",100,0,0
"Accipiter_erythronemius",100,0,0
"Accipiter_erythropus",86.66,6.66,6.68
"Accipiter_fasciatus",91.996,3.996,4.008
"Accipiter_francesiae",79.99,9.99,10.02
"Accipiter_gentilis",100,0,0
"Accipiter_griseiceps",93.33,3.33,3.34
"Accipiter_gularis",96.665,1.665,1.67
"Accipiter_gundlachi",100,0,0
"Accipiter_haplochrous",89.995,4.995,5.01
"Accipiter_henicogrammus",89.995,4.995,5.01
"Accipiter_henstii",100,0,0
"Accipiter_imitator",86.66,6.66,6.68
"Accipiter_luteoschistaceus",86.66,6.66,6.68
"Accipiter_madagascariensis",93.33,3.33,3.34
"Accipiter_melanochlamys",93.33,3.33,3.34
"Accipiter_melanoleucus",100,0,0
"Accipiter_meyerianus",100,0,0
"Accipiter_minullus",93.33,3.33,3.34
"Accipiter_nanus",76.655,11.655,11.69
"Accipiter_nisus",100,0,0
"Accipiter_novaehollandiae",89.995,4.995,5.01
"Accipiter_ovampensis",100,0,0
"Accipiter_poliocephalus",93.33,3.33,3.34
"Accipiter_poliogaster",100,0,0
"Accipiter_princeps",89.995,4.995,5.01
"Accipiter_rhodogaster",93.33,3.33,3.34
"Accipiter_rufitorques",93.33,3.33,3.34
"Accipiter_rufiventris",96.665,1.665,1.67
"Accipiter_soloensis",96.665,1.665,1.67
"Accipiter_striatus",100,0,0
"Accipiter_superciliosus",100,0,0
"Accipiter_tachiro",94.9975,2.4975,2.505
"Accipiter_toussenelii",96.665,1.665,1.67
"Accipiter_trinotatus",93.33,3.33,3.34
"Accipiter_trivirgatus",91.329,4.329,4.342
"Accipiter_ventralis",100,0,0
"Accipiter_virgatus",93.33,3.33,3.34
"Aceros_cassidix",29.97,39.97,30.06
"Aceros_comatus",33.3,33.3,33.4
"Aceros_corrugatus",33.3,33.3,33.4
"Aceros_everetti",33.3,33.3,33.4
"Aceros_leucocephalus",33.3,33.3,33.4
"Aceros_narcondami",33.3,33.3,33.4
"Aceros_nipalensis",33.3,33.3,33.4
"Aceros_plicatus",33.3,33.3,33.4
"Aceros_subruficollis",33.3,33.3,33.4
"Aceros_undulatus",33.3,33.3,33.4
"Aceros_waldeni",33.3,33.3,33.4
"Achaetops_pycnopygius",33.3,33.3,33.4
"Acridotheres_albocinctus",29.97,29.97,40.06
"Acridotheres_cinereus",33.3,33.3,33.4
"Acridotheres_cristatellus",39.97,29.97,30.06
"Acridotheres_fuscus",29.97,29.97,40.06
"Acridotheres_ginginianus",29.97,29.97,40.06
"Acridotheres_grandis",33.3,33.3,33.4
"Acridotheres_tristis",29.97,29.97,40.06
"Acrobatornis_fonsecai",33.3,33.3,33.4
"Acrocephalus_aedon",33.3,33.3,33.4
"Acrocephalus_aequinoctialis",33.3,33.3,33.4
"Acrocephalus_agricola",33.3,33.3,33.4
"Acrocephalus_arundinaceus",33.3,33.3,33.4
"Acrocephalus_atyphus",33.3,33.3,33.4
"Acrocephalus_australis",33.3,33.3,33.4
"Acrocephalus_baeticatus",33.3,33.3,33.4
"Acrocephalus_bistrigiceps",33.3,33.3,33.4
"Acrocephalus_brevipennis",33.3,33.3,33.4
"Acrocephalus_caffer",29.97,29.97,40.06
"Acrocephalus_concinens",33.3,33.3,33.4
"Acrocephalus_dumetorum",33.3,33.3,33.4
"Acrocephalus_familiaris",33.3,33.3,33.4
"Acrocephalus_gracilirostris",33.3,33.3,33.4
"Acrocephalus_griseldis",33.3,33.3,33.4
"Acrocephalus_kerearako",33.3,33.3,33.4
"Acrocephalus_luscinius",33.3,33.3,33.4
"Acrocephalus_melanopogon",33.3,33.3,33.4
"Acrocephalus_mendanae",29.97,29.97,40.06
