"species","Crush_task","Engulf_task","Reach_task"
"Abeillia_abeillei",7.5,1.25,91.25
"Abroscopus_albogularis",75,12.5,12.5
"Abroscopus_schisticeps",75,12.5,12.5
"Abroscopus_superciliaris",75,12.5,12.5
"Aburria_aburri",75,12.5,12.5
"Acanthagenys_rufogularis",36.45,6.075,57.475
"Acanthidops_bairdii",37.5,6.25,56.25
"Acanthisitta_chloris",34.5,5.75,59.75
"Acanthiza_apicalis",75,12.5,12.5
"Acanthiza_chrysorrhoa",75,12.5,12.5
"Acanthiza_ewingii",75,12.5,12.5
"Acanthiza_inornata",60,10,30
"Acanthiza_iredalei",75,12.5,12.5
"Acanthiza_katherina",75,12.5,12.5
"Acanthiza_lineata",60,10,30
"Acanthiza_murina",75,12.5,12.5
"Acanthiza_nana",75,12.5,12.5
"Acanthiza_pusilla",67.5,11.25,21.25
"Acanthiza_reguloides",67.5,11.25,21.25
"Acanthiza_robustirostris",75,12.5,12.5
"Acanthiza_uropygialis",75,12.5,12.5
"Acanthorhynchus_superciliosus",20.925,3.4875,75.5875
"Acanthorhynchus_tenuirostris",27.9,4.65,67.45
"Acanthornis_magna",75,12.5,12.5
"Accipiter_albogularis",100,0,0
"Accipiter_badius",98.75,0.625,0.625
"Accipiter_bicolor",100,0,0
"Accipiter_brachyurus",100,0,0
"Accipiter_brevipes",95,2.5,2.5
"Accipiter_butleri",98.75,0.625,0.625
"Accipiter_castanilius",98.75,0.625,0.625
"Accipiter_chilensis",100,0,0
"Accipiter_chionogaster",100,0,0
"Accipiter_cirrocephalus",98.75,0.625,0.625
"Accipiter_collaris",100,0,0
"Accipiter_cooperii",100,0,0
"Accipiter_erythrauchen",100,0,0
"Accipiter_erythronemius",100,0,0
"Accipiter_erythropus",95,2.5,2.5
"Accipiter_fasciatus",97,1.5,1.5
"Accipiter_francesiae",92.5,3.75,3.75
"Accipiter_gentilis",100,0,0
"Accipiter_griseiceps",97.5,1.25,1.25
"Accipiter_gularis",98.75,0.625,0.625
"Accipiter_gundlachi",100,0,0
"Accipiter_haplochrous",96.25,1.875,1.875
"Accipiter_henicogrammus",96.25,1.875,1.875
"Accipiter_henstii",100,0,0
"Accipiter_imitator",95,2.5,2.5
"Accipiter_luteoschistaceus",95,2.5,2.5
"Accipiter_madagascariensis",97.5,1.25,1.25
"Accipiter_melanochlamys",97.5,1.25,1.25
"Accipiter_melanoleucus",100,0,0
"Accipiter_meyerianus",100,0,0
"Accipiter_minullus",97.5,1.25,1.25
"Accipiter_nanus",91.25,4.375,4.375
"Accipiter_nisus",100,0,0
"Accipiter_novaehollandiae",96.25,1.875,1.875
"Accipiter_ovampensis",100,0,0
"Accipiter_poliocephalus",97.5,1.25,1.25
"Accipiter_poliogaster",100,0,0
"Accipiter_princeps",96.25,1.875,1.875
"Accipiter_rhodogaster",97.5,1.25,1.25
"Accipiter_rufitorques",97.5,1.25,1.25
"Accipiter_rufiventris",98.75,0.625,0.625
"Accipiter_soloensis",98.75,0.625,0.625
"Accipiter_striatus",100,0,0
"Accipiter_superciliosus",100,0,0
"Accipiter_tachiro",98.125,0.9375,0.9375
"Accipiter_toussenelii",98.75,0.625,0.625
"Accipiter_trinotatus",97.5,1.25,1.25
"Accipiter_trivirgatus",96.75,1.625,1.625
"Accipiter_ventralis",100,0,0
"Accipiter_virgatus",97.5,1.25,1.25
"Aceros_cassidix",67.5,21.25,11.25
"Aceros_comatus",75,12.5,12.5
"Aceros_corrugatus",75,12.5,12.5
"Aceros_everetti",75,12.5,12.5
"Aceros_leucocephalus",75,12.5,12.5
"Aceros_narcondami",75,12.5,12.5
"Aceros_nipalensis",75,12.5,12.5
"Aceros_plicatus",75,12.5,12.5
"Aceros_subruficollis",75,12.5,12.5
"Aceros_undulatus",75,12.5,12.5
"Aceros_waldeni",75,12.5,12.5
"Achaetops_pycnopygius",75,12.5,12.5
"Acridotheres_albocinctus",67.5,11.25,21.25
"Acridotheres_cinereus",75,12.5,12.5
"Acridotheres_cristatellus",77.5,11.25,11.25
"Acridotheres_fuscus",67.5,11.25,21.25
"Acridotheres_ginginianus",67.5,11.25,21.25
"Acridotheres_grandis",75,12.5,12.5
"Acridotheres_tristis",67.5,11.25,21.25
"Acrobatornis_fonsecai",75,12.5,12.5
"Acrocephalus_aedon",75,12.5,12.5
"Acrocephalus_aequinoctialis",75,12.5,12.5
"Acrocephalus_agricola",75,12.5,12.5
"Acrocephalus_arundinaceus",75,12.5,12.5
