"species","Crush_task","Engulf_task","Reach_task"
"Abeillia_abeillei",1.25,1.25,97.5
"Abroscopus_albogularis",12.5,12.5,75
"Abroscopus_schisticeps",12.5,12.5,75
"Abroscopus_superciliaris",12.5,12.5,75
"Aburria_aburri",12.5,12.5,75
"Acanthagenys_rufogularis",6.075,6.075,87.85
"Acanthidops_bairdii",6.25,6.25,87.5
"Acanthisitta_chloris",5.75,5.75,88.5
"Acanthiza_apicalis",12.5,12.5,75
"Acanthiza_chrysorrhoa",12.5,12.5,75
"Acanthiza_ewingii",12.5,12.5,75
"Acanthiza_inornata",10,10,80
"Acanthiza_iredalei",12.5,12.5,75
"Acanthiza_katherina",12.5,12.5,75
"Acanthiza_lineata",10,10,80
"Acanthiza_murina",12.5,12.5,75
"Acanthiza_nana",12.5,12.5,75
"Acanthiza_pusilla",11.25,11.25,77.5
"Acanthiza_reguloides",11.25,11.25,77.5
"Acanthiza_robustirostris",12.5,12.5,75
"Acanthiza_uropygialis",12.5,12.5,75
"Acanthorhynchus_superciliosus",3.4875,3.4875,93.025
"Acanthorhynchus_tenuirostris",4.65,4.65,90.7
"Acanthornis_magna",12.5,12.5,75
"Accipiter_albogularis",100,0,0
"Accipiter_badius",95.625,0.625,3.75
"Accipiter_bicolor",100,0,0
"Accipiter_brachyurus",100,0,0
"Accipiter_brevipes",82.5,2.5,15
"Accipiter_butleri",95.625,0.625,3.75
"Accipiter_castanilius",95.625,0.625,3.75
"Accipiter_chilensis",100,0,0
"Accipiter_chionogaster",100,0,0
"Accipiter_cirrocephalus",95.625,0.625,3.75
"Accipiter_collaris",100,0,0
"Accipiter_cooperii",100,0,0
"Accipiter_erythrauchen",100,0,0
"Accipiter_erythronemius",100,0,0
"Accipiter_erythropus",82.5,2.5,15
"Accipiter_fasciatus",89.5,1.5,9
"Accipiter_francesiae",73.75,3.75,22.5
"Accipiter_gentilis",100,0,0
"Accipiter_griseiceps",91.25,1.25,7.5
"Accipiter_gularis",95.625,0.625,3.75
"Accipiter_gundlachi",100,0,0
"Accipiter_haplochrous",86.875,1.875,11.25
"Accipiter_henicogrammus",86.875,1.875,11.25
"Accipiter_henstii",100,0,0
"Accipiter_imitator",82.5,2.5,15
"Accipiter_luteoschistaceus",82.5,2.5,15
"Accipiter_madagascariensis",91.25,1.25,7.5
"Accipiter_melanochlamys",91.25,1.25,7.5
"Accipiter_melanoleucus",100,0,0
"Accipiter_meyerianus",100,0,0
"Accipiter_minullus",91.25,1.25,7.5
"Accipiter_nanus",69.375,4.375,26.25
"Accipiter_nisus",100,0,0
"Accipiter_novaehollandiae",86.875,1.875,11.25
"Accipiter_ovampensis",100,0,0
"Accipiter_poliocephalus",91.25,1.25,7.5
"Accipiter_poliogaster",100,0,0
"Accipiter_princeps",86.875,1.875,11.25
"Accipiter_rhodogaster",91.25,1.25,7.5
"Accipiter_rufitorques",91.25,1.25,7.5
"Accipiter_rufiventris",95.625,0.625,3.75
"Accipiter_soloensis",95.625,0.625,3.75
"Accipiter_striatus",100,0,0
"Accipiter_superciliosus",100,0,0
"Accipiter_tachiro",93.4375,0.9375,5.625
"Accipiter_toussenelii",95.625,0.625,3.75
"Accipiter_trinotatus",91.25,1.25,7.5
"Accipiter_trivirgatus",88.625,1.625,9.75
"Accipiter_ventralis",100,0,0
"Accipiter_virgatus",91.25,1.25,7.5
"Aceros_cassidix",11.25,21.25,67.5
"Aceros_comatus",12.5,12.5,75
"Aceros_corrugatus",12.5,12.5,75
"Aceros_everetti",12.5,12.5,75
"Aceros_leucocephalus",12.5,12.5,75
"Aceros_narcondami",12.5,12.5,75
"Aceros_nipalensis",12.5,12.5,75
"Aceros_plicatus",12.5,12.5,75
"Aceros_subruficollis",12.5,12.5,75
"Aceros_undulatus",12.5,12.5,75
"Aceros_waldeni",12.5,12.5,75
"Achaetops_pycnopygius",12.5,12.5,75
"Acridotheres_albocinctus",11.25,11.25,77.5
"Acridotheres_cinereus",12.5,12.5,75
"Acridotheres_cristatellus",21.25,11.25,67.5
"Acridotheres_fuscus",11.25,11.25,77.5
"Acridotheres_ginginianus",11.25,11.25,77.5
"Acridotheres_grandis",12.5,12.5,75
"Acridotheres_tristis",11.25,11.25,77.5
"Acrobatornis_fonsecai",12.5,12.5,75
"Acrocephalus_aedon",12.5,12.5,75
"Acrocephalus_aequinoctialis",12.5,12.5,75
"Acrocephalus_agricola",12.5,12.5,75
"Acrocephalus_arundinaceus",12.5,12.5,75
"Acrocephalus_atyphus",12.5,12.5,75
"Acrocephalus_australis",12.5,12.5,75
"Acrocephalus_baeticatus",12.5,12.5,75
"Acrocephalus_bistrigiceps",12.5,12.5,75
"Acrocephalus_brevipennis",12.5,12.5,75
"Acrocephalus_caffer",11.25,11.25,77.5
"Acrocephalus_concinens",12.5,12.5,75
"Acrocephalus_dumetorum",12.5,12.5,75
"Acrocephalus_familiaris",12.5,12.5,75
"Acrocephalus_gracilirostris",12.5,12.5,75
"Acrocephalus_griseldis",12.5,12.5,75
"Acrocephalus_kerearako",12.5,12.5,75
"Acrocephalus_luscinius",12.5,12.5,75
"Acrocephalus_melanopogon",12.5,12.5,75
"Acrocephalus_mendanae",11.25,11.25,77.5
"Acrocephalus_newtoni",12.5,12.5,75
"Acrocephalus_orinus",12.5,12.5,75
"Acrocephalus_paludicola",12.5,12.5,75
"Acrocephalus_palustris",12.5,12.5,75
"Acrocephalus_rehsei",12.5,12.5,75
"Acrocephalus_rimatarae",12.5,12.5,75
"Acrocephalus_rodericanus",12.5,12.5,75
"Acrocephalus_rufescens",12.5,12.5,75
"Acrocephalus_schoenobaenus",12.5,12.5,75
"Acrocephalus_scirpaceus",12.5,12.5,75
"Acrocephalus_sechellensis",12.5,12.5,75
"Acrocephalus_sorghophilus",12.5,12.5,75
"Acrocephalus_stentoreus",12.5,12.5,75
"Acrocephalus_syrinx",12.5,12.5,75
"Acrocephalus_taiti",12.5,12.5,75
"Acrocephalus_tangorum",12.5,12.5,75
"Acrocephalus_vaughani",12.5,12.5,75
"Acropternis_orthonyx",12.5,12.5,75
"Acryllium_vulturinum",12.5,12.5,75
"Actenoides_bougainvillei",12.5,12.5,75
"Actenoides_concretus",12.5,12.5,75
"Actenoides_hombroni",12.5,12.5,75
"Actenoides_lindsayi",12.5,12.5,75
"Actenoides_monachus",12.5,12.5,75
"Actenoides_princeps",12.5,12.5,75
"Actinodura_egertoni",12.5,12.5,75
"Actinodura_morrisoniana",12.5,12.5,75
"Actinodura_nipalensis",11.25,11.25,77.5
"Actinodura_ramsayi",12.5,12.5,75
"Actinodura_sodangorum",12.5,12.5,75
"Actinodura_souliei",12.5,12.5,75
"Actinodura_waldeni",12.5,12.5,75
"Actitis_hypoleucos",10.25,10.25,79.5
"Actitis_macularius",10,10,80
"Actophilornis_africanus",12.5,12.5,75
"Actophilornis_albinucha",12.5,12.5,75
"Adelomyia_melanogenys",1.25,1.25,97.5
"Aechmophorus_clarkii",12.5,12.5,75
"Aechmophorus_occidentalis",12.5,12.5,75
"Aegithalos_caudatus",12.5,12.5,75
"Aegithalos_concinnus",12.5,12.5,75
"Aegithalos_fuliginosus",12.5,12.5,75
"Aegithalos_iouschistos",12.5,12.5,75
"Aegithalos_leucogenys",12.5,12.5,75
"Aegithalos_niveogularis",12.5,12.5,75
"Aegithina_lafresnayei",12.5,12.5,75
"Aegithina_nigrolutea",12.5,12.5,75
"Aegithina_tiphia",12.5,12.5,75
"Aegithina_viridissima",12.5,12.5,75
"Aegolius_acadicus",95.625,0.625,3.75
"Aegolius_funereus",95.625,0.625,3.75
"Aegolius_harrisii",82.5,2.5,15
"Aegolius_ridgwayi",91.25,1.25,7.5
"Aegotheles_albertisi",0,100,0
"Aegotheles_archboldi",0,100,0
"Aegotheles_bennettii",0,100,0
"Aegotheles_crinifrons",0,100,0
"Aegotheles_cristatus",0,100,0
"Aegotheles_insignis",0,100,0
"Aegotheles_savesi",0,100,0
"Aegotheles_tatei",0,100,0
"Aegotheles_wallacii",0,100,0
"Aegypius_monachus",100,0,0
"Aenigmatolimnas_marginalis",6.25,6.25,87.5
"Aepypodius_arfakianus",12.5,12.5,75
"Aepypodius_bruijnii",12.5,12.5,75
"Aeronautes_andecolus",0,100,0
"Aeronautes_montivagus",0,100,0
"Aeronautes_saxatalis",0,100,0
"Aethia_cristatella",12.5,12.5,75
"Aethia_psittacula",12.5,12.5,75
"Aethia_pusilla",12.5,12.5,75
"Aethia_pygmaea",12.5,12.5,75
"Aethopyga_bella",6.25,6.25,87.5
"Aethopyga_boltoni",6.25,6.25,87.5
"Aethopyga_christinae",8.75,8.75,82.5
"Aethopyga_duyvenbodei",6.25,6.25,87.5
"Aethopyga_eximia",6.25,6.25,87.5
"Aethopyga_flagrans",5,5,90
"Aethopyga_gouldiae",5,5,90
"Aethopyga_ignicauda",5,5,90
"Aethopyga_linaraborae",5,5,90
"Aethopyga_mystacalis",5,5,90
"Aethopyga_nipalensis",5,5,90
"Aethopyga_primigenia",5,5,90
"Aethopyga_pulcherrima",5,5,90
"Aethopyga_saturata",2.5,2.5,95
"Aethopyga_shelleyi",5,5,90
"Aethopyga_siparaja",3.75,3.75,92.5
"Afropavo_congensis",12.5,12.5,75
"Agamia_agami",15,10,75
"Agapornis_canus",78.125,3.125,18.75
"Agapornis_fischeri",91.25,1.25,7.5
"Agapornis_lilianae",69.375,4.375,26.25
"Agapornis_nigrigenis",82.5,2.5,15
"Agapornis_personatus",100,0,0
"Agapornis_pullarius",86.875,1.875,11.25
"Agapornis_roseicollis",73.75,3.75,22.5
"Agapornis_swindernianus",73.75,3.75,22.5
"Agapornis_taranta",82.5,2.5,15
"Agelaioides_badius",12.5,12.5,75
"Agelaius_assimilis",12.5,12.5,75
"Agelaius_humeralis",11.25,11.25,77.5
"Agelaius_phoeniceus",12.5,12.5,75
"Agelaius_tricolor",12.5,12.5,75
"Agelaius_xanthomus",12.5,12.5,75
"Agelastes_meleagrides",12.5,12.5,75
"Agelastes_niger",12.5,12.5,75
"Agelasticus_cyanopus",12.5,12.5,75
"Agelasticus_thilius",12.5,12.5,75
"Agelasticus_xanthophthalmus",12.5,12.5,75
"Aglaeactis_aliciae",1.25,1.25,97.5
"Aglaeactis_castelnaudii",1.25,1.25,97.5
"Aglaeactis_cupripennis",1.25,1.25,97.5
"Aglaeactis_pamela",1.25,1.25,97.5
"Aglaiocercus_berlepschi",1.25,1.25,97.5
"Aglaiocercus_coelestis",1.25,1.25,97.5
"Aglaiocercus_kingi",1.25,1.25,97.5
"Agriornis_albicauda",7.5,47.5,45
"Agriornis_lividus",7.5,47.5,45
"Agriornis_micropterus",9,37,54
"Agriornis_montanus",9.125,36.125,54.75
"Agriornis_murinus",8,44,48
"Ailuroedus_buccoides",11.25,21.25,67.5
"Ailuroedus_crassirostris",10,20,70
"Ailuroedus_melanotis",9.75,21.75,68.5
"Aimophila_aestivalis",12.5,12.5,75
"Aimophila_botterii",12.5,12.5,75
"Aimophila_carpalis",12.5,12.5,75
"Aimophila_cassinii",12.5,12.5,75
"Aimophila_humeralis",12.5,12.5,75
"Aimophila_mystacalis",12.5,12.5,75
"Aimophila_notosticta",12.5,12.5,75
"Aimophila_quinquestriata",12.5,12.5,75
"Aimophila_rufescens",11.25,11.25,77.5
"Aimophila_ruficauda",12.5,12.5,75
"Aimophila_ruficeps",12.5,12.5,75
"Aimophila_stolzmanni",12.5,12.5,75
"Aimophila_strigiceps",12.5,12.5,75
"Aimophila_sumichrasti",12.5,12.5,75
"Aix_galericulata",0,25,75
"Aix_sponsa",4.25,20.75,75
"Alaemon_alaudipes",12.5,12.5,75
"Alaemon_hamertoni",12.5,12.5,75
"Alauda_arvensis",12.5,12.5,75
"Alauda_gulgula",12.5,12.5,75
"Alauda_japonica",12.5,12.5,75
"Alauda_razae",12.5,12.5,75
"Alca_torda",12.5,12.5,75
"Alcedo_argentata",12.5,12.5,75
"Alcedo_atthis",12.5,12.5,75
"Alcedo_azurea",12.5,12.5,75
"Alcedo_coerulescens",12.5,12.5,75
"Alcedo_cristata",12.5,12.5,75
"Alcedo_cyanopectus",12.5,12.5,75
"Alcedo_euryzona",12.5,12.5,75
"Alcedo_hercules",12.5,12.5,75
"Alcedo_leucogaster",12.5,12.5,75
"Alcedo_meninting",12.5,12.5,75
"Alcedo_pusilla",12.5,12.5,75
"Alcedo_quadribrachys",12.5,12.5,75
"Alcedo_semitorquata",12.5,12.5,75
"Alcedo_vintsioides",12.5,12.5,75
"Alcedo_websteri",12.5,12.5,75
"Alcippe_brunnea",12.5,12.5,75
"Alcippe_brunneicauda",12.5,12.5,75
"Alcippe_castaneceps",11.25,11.25,77.5
"Alcippe_chrysotis",12.5,12.5,75
"Alcippe_cinerea",12.5,12.5,75
"Alcippe_cinereiceps",12.5,12.5,75
"Alcippe_danisi",12.5,12.5,75
"Alcippe_dubia",12.5,12.5,75
"Alcippe_formosana",12.5,12.5,75
"Alcippe_grotei",12.5,12.5,75
"Alcippe_klossi",11.25,11.25,77.5
"Alcippe_ludlowi",12.5,12.5,75
"Alcippe_manipurensis",12.5,12.5,75
"Alcippe_morrisonia",12.5,12.5,75
"Alcippe_nipalensis",10,10,80
"Alcippe_peracensis",12.5,12.5,75
"Alcippe_poioicephala",10,10,80
"Alcippe_pyrrhoptera",12.5,12.5,75
"Alcippe_ruficapilla",12.5,12.5,75
"Alcippe_rufogularis",12.5,12.5,75
"Alcippe_striaticollis",12.5,12.5,75
"Alcippe_variegaticeps",12.5,12.5,75
"Alcippe_vinipectus",12.5,12.5,75
"Aleadryas_rufinucha",12.5,12.5,75
"Alectoris_barbara",12.5,12.5,75
"Alectoris_chukar",12.5,12.5,75
"Alectoris_graeca",12.5,12.5,75
"Alectoris_magna",12.5,12.5,75
"Alectoris_melanocephala",12.5,12.5,75
"Alectoris_philbyi",12.5,12.5,75
"Alectoris_rufa",12.5,12.5,75
"Alectroenas_madagascariensis",12.5,12.5,75
"Alectroenas_pulcherrima",12.5,12.5,75
"Alectroenas_sganzini",12.5,12.5,75
"Alectrurus_risora",0,100,0
"Alectrurus_tricolor",0,100,0
"Alectura_lathami",12.5,12.5,75
"Alethe_choloensis",8.125,8.125,83.75
"Alethe_diademata",9.5,9.5,81
"Alethe_fuelleborni",8.125,8.125,83.75
"Alethe_poliocephala",8,8,84
"Alethe_poliophrys",6.875,6.875,86.25
"Alipiopsitta_xanthops",78.125,3.125,18.75
"Alisterus_amboinensis",56.25,6.25,37.5
"Alisterus_chloropterus",78.125,3.125,18.75
"Alisterus_scapularis",60.625,5.625,33.75
"Alle_alle",12.5,12.5,75
"Alophoixus_affinis",12.5,12.5,75
"Alophoixus_bres",12.5,12.5,75
"Alophoixus_finschii",12.5,12.5,75
"Alophoixus_flaveolus",12.5,12.5,75
"Alophoixus_ochraceus",12.5,12.5,75
"Alophoixus_pallidus",11.25,11.25,77.5
"Alophoixus_phaeocephalus",11.25,21.25,67.5
"Alopochelidon_fucata",0,100,0
"Alopochen_aegyptiaca",1.875,23.125,75
"Amadina_erythrocephala",56.25,6.25,37.5
"Amadina_fasciata",56.25,6.25,37.5
"Amalocichla_incerta",12.5,12.5,75
"Amalocichla_sclateriana",12.5,12.5,75
"Amandava_amandava",56.25,6.25,37.5
"Amandava_formosa",56.25,6.25,37.5
"Amandava_subflava",56.25,6.25,37.5
"Amaurocichla_bocagei",12.5,12.5,75
"Amaurolimnas_concolor",10.75,7.75,81.5
"Amaurornis_akool",21.25,6.25,72.5
"Amaurornis_bicolor",16.25,6.25,77.5
"Amaurornis_flavirostra",25.6875,5.6875,68.625
"Amaurornis_isabellina",9.375,9.375,81.25
"Amaurornis_magnirostris",9.375,9.375,81.25
"Amaurornis_moluccana",16,7,77
"Amaurornis_olivacea",16,7,77
"Amaurornis_olivieri",6.25,6.25,87.5
"Amaurornis_phoenicurus",15.5,7.5,77
"Amaurospiza_carrizalensis",82.5,2.5,15
"Amaurospiza_concolor",82.5,2.5,15
"Amaurospiza_moesta",82.5,2.5,15
"Amazilia_amabilis",0,0,100
"Amazilia_amazilia",1.25,1.25,97.5
"Amazilia_beryllina",1.25,1.25,97.5
"Amazilia_boucardi",1.25,1.25,97.5
"Amazilia_brevirostris",1.25,1.25,97.5
"Amazilia_candida",1.25,1.25,97.5
"Amazilia_castaneiventris",1.25,1.25,97.5
"Amazilia_chionogaster",1.25,1.25,97.5
"Amazilia_cyanifrons",1.25,1.25,97.5
"Amazilia_cyanocephala",1.25,1.25,97.5
"Amazilia_cyanura",1.25,1.25,97.5
"Amazilia_decora",1.25,1.25,97.5
"Amazilia_edward",1.25,1.25,97.5
"Amazilia_fimbriata",1.25,1.25,97.5
"Amazilia_franciae",1.25,1.25,97.5
"Amazilia_lactea",1.25,1.25,97.5
"Amazilia_leucogaster",1.25,1.25,97.5
"Amazilia_luciae",1.25,1.25,97.5
"Amazilia_rosenbergi",1.25,1.25,97.5
"Amazilia_rutila",1.25,1.25,97.5
"Amazilia_saucerrottei",1.25,1.25,97.5
"Amazilia_tobaci",1.25,1.25,97.5
"Amazilia_tzacatl",1.25,1.25,97.5
"Amazilia_versicolor",1.25,1.25,97.5
"Amazilia_violiceps",1.25,1.25,97.5
"Amazilia_viridicauda",1.25,1.25,97.5
"Amazilia_viridifrons",1.25,1.25,97.5
"Amazilia_viridigaster",1.25,1.25,97.5
"Amazilia_yucatanensis",1.25,1.25,97.5
"Amazona_aestiva",65,5,30
"Amazona_agilis",56.25,6.25,37.5
"Amazona_albifrons",65,5,30
"Amazona_amazonica",56.25,6.25,37.5
"Amazona_arausiaca",73.75,3.75,22.5
"Amazona_auropalliata",56.25,6.25,37.5
"Amazona_autumnalis",65,5,30
"Amazona_barbadensis",56.25,6.25,37.5
"Amazona_brasiliensis",56.25,6.25,37.5
"Amazona_collaria",56.25,6.25,37.5
"Amazona_dufresniana",78.125,3.125,18.75
"Amazona_farinosa",60.625,5.625,33.75
"Amazona_festiva",65,5,30
"Amazona_finschi",78.125,3.125,18.75
"Amazona_guildingii",78.125,3.125,18.75
"Amazona_imperialis",78.125,3.125,18.75
"Amazona_kawalli",65,5,30
"Amazona_leucocephala",56.25,6.25,37.5
"Amazona_mercenaria",65,5,30
"Amazona_ochrocephala",56.25,6.25,37.5
"Amazona_oratrix",56.25,6.25,37.5
"Amazona_pretrei",78.125,3.125,18.75
"Amazona_rhodocorytha",56.25,6.25,37.5
"Amazona_tucumana",60.625,5.625,33.75
"Amazona_ventralis",78.125,3.125,18.75
"Amazona_versicolor",78.125,3.125,18.75
"Amazona_vinacea",56.25,6.25,37.5
"Amazona_viridigenalis",51.875,6.875,41.25
"Amazona_vittata",51.875,6.875,41.25
"Amazona_xantholora",65,5,30
"Amazonetta_brasiliensis",0,25,75
"Amblycercus_holosericeus",12.5,12.5,75
"Amblyornis_flavifrons",12.5,12.5,75
"Amblyornis_inornata",12.5,12.5,75
