"species","Fly_task","Swim_task","Walk_task"
"Abeillia_abeillei",100,0,0
"Abroscopus_albogularis",77.5,0,22.5
"Abroscopus_schisticeps",80,0,20
"Abroscopus_superciliaris",80,0,20
"Aburria_aburri",75,0,25
"Acanthagenys_rufogularis",75.5,0,24.5
"Acanthidops_bairdii",75,0,25
"Acanthisitta_chloris",75,0,25
"Acanthiza_apicalis",77,0,23
"Acanthiza_chrysorrhoa",14,0,86
"Acanthiza_ewingii",79,0,21
"Acanthiza_inornata",63,0,37
"Acanthiza_iredalei",43.25,0,56.75
"Acanthiza_katherina",80,0,20
"Acanthiza_lineata",78,0,22
"Acanthiza_murina",75,0,25
"Acanthiza_nana",62,0,38
"Acanthiza_pusilla",70,0,30
"Acanthiza_reguloides",48.5,0,51.5
"Acanthiza_robustirostris",70,0,30
"Acanthiza_uropygialis",63.5,0,36.5
"Acanthorhynchus_superciliosus",81.5,0,18.5
"Acanthorhynchus_tenuirostris",86,0,14
"Acanthornis_magna",37.5,0,62.5
"Accipiter_albogularis",82.5,0,17.5
"Accipiter_badius",77.25,0,22.75
"Accipiter_bicolor",85,0,15
"Accipiter_brachyurus",82.5,0,17.5
"Accipiter_brevipes",76.5,0,23.5
"Accipiter_butleri",75,0,25
"Accipiter_castanilius",84,0,16
"Accipiter_chilensis",85,0,15
"Accipiter_chionogaster",85,0,15
"Accipiter_cirrocephalus",86.5,0,13.5
"Accipiter_collaris",82.5,0,17.5
"Accipiter_cooperii",82.5,0,17.5
"Accipiter_erythrauchen",85,0,15
"Accipiter_erythronemius",85,0,15
"Accipiter_erythropus",86,0,14
"Accipiter_fasciatus",70,0,30
"Accipiter_francesiae",76,0,24
"Accipiter_gentilis",77.5,0,22.5
"Accipiter_griseiceps",77,0,23
"Accipiter_gularis",81.75,0,18.25
"Accipiter_gundlachi",82.5,0,17.5
"Accipiter_haplochrous",78.5,0,21.5
"Accipiter_henicogrammus",76.75,0,23.25
"Accipiter_henstii",75,0,25
"Accipiter_imitator",79.5,0,20.5
"Accipiter_luteoschistaceus",75,0,25
"Accipiter_madagascariensis",88,0,12
"Accipiter_melanochlamys",76.5,0,23.5
"Accipiter_melanoleucus",85,0,15
"Accipiter_meyerianus",85,0,15
"Accipiter_minullus",91,0,9
"Accipiter_nanus",75.75,0,24.25
"Accipiter_nisus",82.5,0,17.5
"Accipiter_novaehollandiae",76.75,0,23.25
"Accipiter_ovampensis",85,0,15
"Accipiter_poliocephalus",77,0,23
"Accipiter_poliogaster",82.5,0,17.5
"Accipiter_princeps",76.75,0,23.25
"Accipiter_rhodogaster",81,0,19
"Accipiter_rufitorques",83,0,17
"Accipiter_rufiventris",85.75,0,14.25
"Accipiter_soloensis",77.25,0,22.75
"Accipiter_striatus",87.5,0,12.5
"Accipiter_superciliosus",92.5,0,7.5
"Accipiter_tachiro",87.5,0,12.5
"Accipiter_toussenelii",77.25,0,22.75
"Accipiter_trinotatus",77,0,23
"Accipiter_trivirgatus",82.5,0,17.5
"Accipiter_ventralis",85,0,15
"Accipiter_virgatus",85,0,15
"Aceros_cassidix",75,0,25
"Aceros_comatus",40.5,0,59.5
"Aceros_corrugatus",75,0,25
"Aceros_everetti",75,0,25
"Aceros_leucocephalus",75.5,0,24.5
"Aceros_narcondami",75,0,25
"Aceros_nipalensis",75,0,25
"Aceros_plicatus",73.5,0,26.5
"Aceros_subruficollis",60,0,40
"Aceros_undulatus",60,0,40
"Aceros_waldeni",75,0,25
"Achaetops_pycnopygius",75,0,25
"Acridotheres_albocinctus",43.5,0,56.5
"Acridotheres_cinereus",37.5,0,62.5
"Acridotheres_cristatellus",38.75,0,61.25
"Acridotheres_fuscus",52,0,48
"Acridotheres_ginginianus",37.5,0,62.5
"Acridotheres_grandis",43.5,0,56.5
"Acridotheres_tristis",29.5,5,65.5
"Acrobatornis_fonsecai",75,0,25
"Acrocephalus_aedon",77.5,0,22.5
"Acrocephalus_aequinoctialis",30,0,70
"Acrocephalus_agricola",64,10,26
"Acrocephalus_arundinaceus",49.5,5,45.5
"Acrocephalus_atyphus",63.25,0,36.75
"Acrocephalus_australis",75,0,25
"Acrocephalus_baeticatus",77.5,0,22.5
"Acrocephalus_bistrigiceps",75,0,25
"Acrocephalus_brevipennis",75,0,25
"Acrocephalus_caffer",69.25,5,25.75
"Acrocephalus_concinens",70,0,30
"Acrocephalus_dumetorum",70.5,0,29.5
"Acrocephalus_familiaris",63.75,0,36.25
"Acrocephalus_gracilirostris",52.5,5,42.5
"Acrocephalus_griseldis",49.5,5,45.5
"Acrocephalus_kerearako",67.5,0,32.5
"Acrocephalus_luscinius",15,0,85
"Acrocephalus_melanopogon",67.5,5,27.5
"Acrocephalus_mendanae",55.5,0,44.5
"Acrocephalus_newtoni",75,0,25
"Acrocephalus_orinus",66.5,0,33.5
"Acrocephalus_paludicola",77.5,0,22.5
"Acrocephalus_palustris",75,0,25
"Acrocephalus_rehsei",75,0,25
"Acrocephalus_rimatarae",66,0,34
"Acrocephalus_rodericanus",75,0,25
"Acrocephalus_rufescens",60,0,40
"Acrocephalus_schoenobaenus",73.25,0,26.75
"Acrocephalus_scirpaceus",71.5,0,28.5
"Acrocephalus_sechellensis",77.25,0,22.75
"Acrocephalus_sorghophilus",71,0,29
"Acrocephalus_stentoreus",49.5,5,45.5
"Acrocephalus_syrinx",15,0,85
"Acrocephalus_taiti",63,0,37
"Acrocephalus_tangorum",66,0,34
"Acrocephalus_vaughani",75,0,25
"Acropternis_orthonyx",75,0,25
"Acryllium_vulturinum",1.5,0,98.5
"Actenoides_bougainvillei",75,0,25
"Actenoides_concretus",75,5,20
"Actenoides_hombroni",75,2.5,22.5
"Actenoides_lindsayi",75,0,25
"Actenoides_monachus",75,0,25
"Actenoides_princeps",75,0,25
"Actinodura_egertoni",75,0,25
"Actinodura_morrisoniana",75,0,25
"Actinodura_nipalensis",75,0,25
"Actinodura_ramsayi",75,0,25
"Actinodura_sodangorum",75,0,25
"Actinodura_souliei",75,0,25
"Actinodura_waldeni",75,0,25
"Actitis_hypoleucos",0,40,60
"Actitis_macularius",0,40,60
"Actophilornis_africanus",0,50,50
"Actophilornis_albinucha",0,50,50
"Adelomyia_melanogenys",100,0,0
"Aechmophorus_clarkii",0,100,0
"Aechmophorus_occidentalis",0,100,0
"Aegithalos_caudatus",70.75,0,29.25
"Aegithalos_concinnus",75,0,25
"Aegithalos_fuliginosus",75,0,25
"Aegithalos_iouschistos",75,0,25
"Aegithalos_leucogenys",75,0,25
"Aegithalos_niveogularis",75,0,25
"Aegithina_lafresnayei",75,0,25
"Aegithina_nigrolutea",75,0,25
"Aegithina_tiphia",77.5,0,22.5
"Aegithina_viridissima",75,0,25
"Aegolius_acadicus",75,0,25
"Aegolius_funereus",75,0,25
"Aegolius_harrisii",75,0,25
"Aegolius_ridgwayi",75,0,25
"Aegotheles_albertisi",82.5,0,17.5
"Aegotheles_archboldi",82.5,0,17.5
"Aegotheles_bennettii",82.5,0,17.5
"Aegotheles_crinifrons",85,0,15
"Aegotheles_cristatus",82.5,0,17.5
"Aegotheles_insignis",82.5,0,17.5
"Aegotheles_savesi",82.5,0,17.5
"Aegotheles_tatei",82.5,0,17.5
"Aegotheles_wallacii",82.5,0,17.5
"Aegypius_monachus",0,0,100
"Aenigmatolimnas_marginalis",0,40,60
"Aepypodius_arfakianus",0,0,100
"Aepypodius_bruijnii",0,0,100
"Aeronautes_andecolus",100,0,0
"Aeronautes_montivagus",100,0,0
"Aeronautes_saxatalis",100,0,0
"Aethia_cristatella",0,100,0
"Aethia_psittacula",0,100,0
"Aethia_pusilla",0,100,0
"Aethia_pygmaea",0,100,0
"Aethopyga_bella",75,0,25
"Aethopyga_boltoni",75,0,25
"Aethopyga_christinae",75,0,25
"Aethopyga_duyvenbodei",75,0,25
"Aethopyga_eximia",75,0,25
"Aethopyga_flagrans",75,0,25
"Aethopyga_gouldiae",75,0,25
"Aethopyga_ignicauda",78,0,22
"Aethopyga_linaraborae",75,0,25
"Aethopyga_mystacalis",75,0,25
"Aethopyga_nipalensis",75,0,25
"Aethopyga_primigenia",75,0,25
"Aethopyga_pulcherrima",75,0,25
"Aethopyga_saturata",75,0,25
"Aethopyga_shelleyi",75,0,25
"Aethopyga_siparaja",83.75,0,16.25
