"species","Fly_task","Swim_task","Walk_task"
"Abeillia_abeillei",100,0,0
"Abroscopus_albogularis",55,0,45
"Abroscopus_schisticeps",60,0,40
"Abroscopus_superciliaris",60,0,40
"Aburria_aburri",50,0,50
"Acanthagenys_rufogularis",53,0,47
"Acanthidops_bairdii",50,0,50
"Acanthisitta_chloris",50,0,50
"Acanthiza_apicalis",54,0,46
"Acanthiza_chrysorrhoa",12,0,88
"Acanthiza_ewingii",58,0,42
"Acanthiza_inornata",42,0,58
"Acanthiza_iredalei",31.5,0,68.5
"Acanthiza_katherina",60,0,40
"Acanthiza_lineata",56,0,44
"Acanthiza_murina",50,0,50
"Acanthiza_nana",44,0,56
"Acanthiza_pusilla",49,0,51
"Acanthiza_reguloides",35,0,65
"Acanthiza_robustirostris",50,0,50
"Acanthiza_uropygialis",45,0,55
"Acanthorhynchus_superciliosus",63,0,37
"Acanthorhynchus_tenuirostris",72,0,28
"Acanthornis_magna",25,0,75
"Accipiter_albogularis",65,0,35
"Accipiter_badius",54.5,0,45.5
"Accipiter_bicolor",70,0,30
"Accipiter_brachyurus",65,0,35
"Accipiter_brevipes",53,0,47
"Accipiter_butleri",50,0,50
"Accipiter_castanilius",68,0,32
"Accipiter_chilensis",70,0,30
"Accipiter_chionogaster",70,0,30
"Accipiter_cirrocephalus",73,0,27
"Accipiter_collaris",65,0,35
"Accipiter_cooperii",65,0,35
"Accipiter_erythrauchen",70,0,30
"Accipiter_erythronemius",70,0,30
"Accipiter_erythropus",72,0,28
"Accipiter_fasciatus",52,0,48
"Accipiter_francesiae",52,0,48
"Accipiter_gentilis",55,0,45
"Accipiter_griseiceps",54,0,46
"Accipiter_gularis",63.5,0,36.5
"Accipiter_gundlachi",65,0,35
"Accipiter_haplochrous",57,0,43
"Accipiter_henicogrammus",53.5,0,46.5
"Accipiter_henstii",50,0,50
"Accipiter_imitator",59,0,41
"Accipiter_luteoschistaceus",50,0,50
"Accipiter_madagascariensis",76,0,24
"Accipiter_melanochlamys",63,0,37
"Accipiter_melanoleucus",70,0,30
"Accipiter_meyerianus",70,0,30
"Accipiter_minullus",82,0,18
"Accipiter_nanus",51.5,0,48.5
"Accipiter_nisus",65,0,35
"Accipiter_novaehollandiae",53.5,0,46.5
"Accipiter_ovampensis",70,0,30
"Accipiter_poliocephalus",54,0,46
"Accipiter_poliogaster",65,0,35
"Accipiter_princeps",53.5,0,46.5
"Accipiter_rhodogaster",62,0,38
"Accipiter_rufitorques",66,0,34
"Accipiter_rufiventris",71.5,0,28.5
"Accipiter_soloensis",54.5,0,45.5
"Accipiter_striatus",75,0,25
"Accipiter_superciliosus",85,0,15
"Accipiter_tachiro",75,0,25
"Accipiter_toussenelii",54.5,0,45.5
"Accipiter_trinotatus",54,0,46
"Accipiter_trivirgatus",65,0,35
"Accipiter_ventralis",70,0,30
"Accipiter_virgatus",70,0,30
"Aceros_cassidix",50,0,50
"Aceros_comatus",27,0,73
"Aceros_corrugatus",50,0,50
"Aceros_everetti",50,0,50
"Aceros_leucocephalus",51,0,49
"Aceros_narcondami",50,0,50
"Aceros_nipalensis",50,0,50
"Aceros_plicatus",49,0,51
"Aceros_subruficollis",40,0,60
"Aceros_undulatus",40,0,60
"Aceros_waldeni",50,0,50
"Achaetops_pycnopygius",50,0,50
"Acridotheres_albocinctus",29,0,71
"Acridotheres_cinereus",25,0,75
"Acridotheres_cristatellus",27.5,0,72.5
"Acridotheres_fuscus",36,0,64
"Acridotheres_ginginianus",25,0,75
"Acridotheres_grandis",29,0,71
"Acridotheres_tristis",21,7.5,71.5
"Acrobatornis_fonsecai",50,0,50
"Acrocephalus_aedon",55,0,45
"Acrocephalus_aequinoctialis",20,0,80
"Acrocephalus_agricola",48,15,37
"Acrocephalus_arundinaceus",35,7.5,57.5
"Acrocephalus_atyphus",44.5,0,55.5
"Acrocephalus_australis",50,0,50
"Acrocephalus_baeticatus",55,0,45
"Acrocephalus_bistrigiceps",50,0,50
"Acrocephalus_brevipennis",50,0,50
"Acrocephalus_caffer",48.5,7.5,44
"Acrocephalus_concinens",50,0,50
"Acrocephalus_dumetorum",50,0,50
"Acrocephalus_familiaris",45.5,0,54.5
"Acrocephalus_gracilirostris",35,7.5,57.5
"Acrocephalus_griseldis",35,7.5,57.5
"Acrocephalus_kerearako",45,0,55
"Acrocephalus_luscinius",10,0,90
