"species","Fly_task","Swim_task","Walk_task"
"Abeillia_abeillei",100,0,0
"Abroscopus_albogularis",32.5,0,67.5
"Abroscopus_schisticeps",40,0,60
"Abroscopus_superciliaris",40,0,60
"Aburria_aburri",25,0,75
"Acanthagenys_rufogularis",30.5,0,69.5
"Acanthidops_bairdii",25,0,75
"Acanthisitta_chloris",25,0,75
"Acanthiza_apicalis",31,0,69
"Acanthiza_chrysorrhoa",10,0,90
"Acanthiza_ewingii",37,0,63
"Acanthiza_inornata",21,0,79
"Acanthiza_iredalei",19.75,0,80.25
"Acanthiza_katherina",40,0,60
"Acanthiza_lineata",34,0,66
"Acanthiza_murina",25,0,75
"Acanthiza_nana",26,0,74
"Acanthiza_pusilla",28,0,72
"Acanthiza_reguloides",21.5,0,78.5
"Acanthiza_robustirostris",30,0,70
"Acanthiza_uropygialis",26.5,0,73.5
"Acanthorhynchus_superciliosus",44.5,0,55.5
"Acanthorhynchus_tenuirostris",58,0,42
"Acanthornis_magna",12.5,0,87.5
"Accipiter_albogularis",47.5,0,52.5
"Accipiter_badius",31.75,0,68.25
"Accipiter_bicolor",55,0,45
"Accipiter_brachyurus",47.5,0,52.5
"Accipiter_brevipes",29.5,0,70.5
"Accipiter_butleri",25,0,75
"Accipiter_castanilius",52,0,48
"Accipiter_chilensis",55,0,45
"Accipiter_chionogaster",55,0,45
"Accipiter_cirrocephalus",59.5,0,40.5
"Accipiter_collaris",47.5,0,52.5
"Accipiter_cooperii",47.5,0,52.5
"Accipiter_erythrauchen",55,0,45
"Accipiter_erythronemius",55,0,45
"Accipiter_erythropus",58,0,42
"Accipiter_fasciatus",34,0,66
"Accipiter_francesiae",28,0,72
"Accipiter_gentilis",32.5,0,67.5
"Accipiter_griseiceps",31,0,69
"Accipiter_gularis",45.25,0,54.75
"Accipiter_gundlachi",47.5,0,52.5
"Accipiter_haplochrous",35.5,0,64.5
"Accipiter_henicogrammus",30.25,0,69.75
"Accipiter_henstii",25,0,75
"Accipiter_imitator",38.5,0,61.5
"Accipiter_luteoschistaceus",25,0,75
"Accipiter_madagascariensis",64,0,36
"Accipiter_melanochlamys",49.5,0,50.5
"Accipiter_melanoleucus",55,0,45
"Accipiter_meyerianus",55,0,45
"Accipiter_minullus",73,0,27
"Accipiter_nanus",27.25,0,72.75
"Accipiter_nisus",47.5,0,52.5
"Accipiter_novaehollandiae",30.25,0,69.75
"Accipiter_ovampensis",55,0,45
"Accipiter_poliocephalus",31,0,69
"Accipiter_poliogaster",47.5,0,52.5
"Accipiter_princeps",30.25,0,69.75
"Accipiter_rhodogaster",43,0,57
"Accipiter_rufitorques",49,0,51
"Accipiter_rufiventris",57.25,0,42.75
"Accipiter_soloensis",31.75,0,68.25
"Accipiter_striatus",62.5,0,37.5
"Accipiter_superciliosus",77.5,0,22.5
"Accipiter_tachiro",62.5,0,37.5
"Accipiter_toussenelii",31.75,0,68.25
"Accipiter_trinotatus",31,0,69
"Accipiter_trivirgatus",47.5,0,52.5
"Accipiter_ventralis",55,0,45
"Accipiter_virgatus",55,0,45
"Aceros_cassidix",25,0,75
"Aceros_comatus",13.5,0,86.5
"Aceros_corrugatus",25,0,75
"Aceros_everetti",25,0,75
"Aceros_leucocephalus",26.5,0,73.5
"Aceros_narcondami",25,0,75
"Aceros_nipalensis",25,0,75
"Aceros_plicatus",24.5,0,75.5
"Aceros_subruficollis",20,0,80
"Aceros_undulatus",20,0,80
"Aceros_waldeni",25,0,75
"Achaetops_pycnopygius",25,0,75
"Acridotheres_albocinctus",14.5,0,85.5
"Acridotheres_cinereus",12.5,0,87.5
"Acridotheres_cristatellus",16.25,0,83.75
"Acridotheres_fuscus",20,0,80
"Acridotheres_ginginianus",12.5,0,87.5
"Acridotheres_grandis",14.5,0,85.5
"Acridotheres_tristis",12.5,2.5,85
"Acrobatornis_fonsecai",25,0,75
"Acrocephalus_aedon",32.5,0,67.5
"Acrocephalus_aequinoctialis",10,0,90
"Acrocephalus_agricola",32,5,63
"Acrocephalus_arundinaceus",20.5,2.5,77
"Acrocephalus_atyphus",25.75,0,74.25
"Acrocephalus_australis",25,0,75
"Acrocephalus_baeticatus",32.5,0,67.5
"Acrocephalus_bistrigiceps",25,0,75
"Acrocephalus_brevipennis",25,0,75
"Acrocephalus_caffer",27.75,2.5,69.75
"Acrocephalus_concinens",30,0,70
"Acrocephalus_dumetorum",29.5,0,70.5
"Acrocephalus_familiaris",27.25,0,72.75
"Acrocephalus_gracilirostris",17.5,2.5,80
"Acrocephalus_griseldis",20.5,2.5,77
"Acrocephalus_kerearako",22.5,0,77.5
"Acrocephalus_luscinius",5,0,95
"Acrocephalus_melanopogon",22.5,2.5,75
"Acrocephalus_mendanae",22.5,0,77.5
"Acrocephalus_newtoni",25,0,75
"Acrocephalus_orinus",27.5,0,72.5
"Acrocephalus_paludicola",32.5,0,67.5
"Acrocephalus_palustris",25,0,75
"Acrocephalus_rehsei",25,0,75
"Acrocephalus_rimatarae",28,0,72
"Acrocephalus_rodericanus",25,0,75
"Acrocephalus_rufescens",20,0,80
