species,status2022,BodyMass,InsularityIndex,GenerationLength,HabitatBreadth
Abeillia_abeillei,LC,2.7,0,1.792,1.674796748
Abroscopus_albogularis,LC,4.8,0,1.711,1.672806067
Abroscopus_schisticeps,LC,4.7,0,1.607,1
Abroscopus_superciliaris,LC,6.5,0,1.828,1.469921333
Aburria_aburri,NT,1405.1,0,7.419,1.870845564
Acanthagenys_rufogularis,LC,47.8,0,3.82,3.523566879
Acanthidops_bairdii,LC,16,0,2.579,1.674796748
Acanthisitta_chloris,LC,6.9,0.5,1.891,2.992948551
Acanthiza_apicalis,LC,7.6,0,3.284,4.589782381
Acanthiza_chrysorrhoa,LC,9.3,0,2.787,4.802390438
Acanthiza_ewingii,LC,6.9,0.5,2.584,4.684275838
Acanthiza_inornata,LC,7,0,2.409,3.500196696
Acanthiza_iredalei,LC,6,0,2.652,2.599688958
Acanthiza_katherina,VU,7.2,0,3.253,1.469921333
Acanthiza_lineata,LC,6.9,0,4.171,4.873749911
Acanthiza_murina,LC,8.4,0.5,3.271,1
Acanthiza_nana,LC,6.2,0,2.802,4.845741968
Acanthiza_pusilla,LC,7.6,0,4.67,4.732233503
Acanthiza_reguloides,LC,7.7,0,2.65,3.191051203
Acanthiza_robustirostris,LC,6.1,0,2.865,2.716911765
Acanthiza_uropygialis,LC,6.4,0,2.732,3.814373
Acanthorhynchus_superciliosus,LC,9.7,0,2.564,3.54210889
Acanthorhynchus_tenuirostris,LC,10.4,0,3.1,4.575318046
Acanthornis_magna,LC,10.2,0.5,2.22,1.520179372
Accipiter_albogularis,LC,248.8,1,4.557,2.761609907
Accipiter_badius,LC,131.2,0,3.541,4.179138004
Accipiter_bicolor,LC,287.5,0,4.851,2.866519407
Accipiter_brachyurus,VU,142,1,3.945,1.469921333
Accipiter_brevipes,LC,186.5,0,3.888,4.567222342
Accipiter_butleri,VU,122,1,4.903,1
Accipiter_castanilius,LC,157.5,0,3.805,1
Accipiter_chilensis,LC,368,0,4.851,NA
Accipiter_chionogaster,LC,130.6,0,5.473,NA
Accipiter_cirrocephalus,LC,165.7,0,3.764,4.361636576
Accipiter_collaris,LC,97.8,0,4.862,1
Accipiter_cooperii,LC,429.7,0,5.552,3.828040279
Accipiter_erythrauchen,NT,156,1,4.16,1.944075088
Accipiter_erythronemius,LC,125,0,5.473,NA
Accipiter_erythropus,LC,111.2,0,3.99,2.200436731
Accipiter_fasciatus,LC,358.7,0,5.133,4.163018312
Accipiter_francesiae,LC,136.8,1,3.943,3.10039332
Accipiter_gentilis,LC,866,0,7.484,3.17860554
Accipiter_griseiceps,LC,251.8,1,4.635,2.632974024
Accipiter_gularis,LC,120.7,0,3.719,4.993970934
Accipiter_gundlachi,EN,675,1,5.292,2.262112279
Accipiter_haplochrous,NT,198.4,1,4.191,3
Accipiter_henicogrammus,NT,358.7,1,4.879,1.469921333
Accipiter_henstii,VU,1050,1,6.932,2.782030911
Accipiter_imitator,NT,222.5,1,4.478,1.469921333
Accipiter_luteoschistaceus,VU,214,1,4.358,2.32681262
Accipiter_madagascariensis,NT,180.4,1,4.112,2.799439972
Accipiter_melanochlamys,LC,265,0.5,4.64,2.306240564
Accipiter_melanoleucus,LC,699,0,6.269,3.451928452
Accipiter_meyerianus,LC,763.5,0.5,5.721,1.469921333
Accipiter_minullus,LC,87.4,0,3.815,3.761877381
Accipiter_nanus,LC,117,1,4.711,1.469921333
Accipiter_nisus,LC,220.8,0,5.537,5.701253996
Accipiter_novaehollandiae,LC,326.1,0,4.39,2.554739162
Accipiter_ovampensis,LC,195,0,4.102,2.548845216
Accipiter_poliocephalus,LC,214.8,0.5,5.331,2.025653724
Accipiter_poliogaster,NT,315,0,6.461,1
Accipiter_princeps,VU,214.8,1,4.747,1.469921333
Accipiter_rhodogaster,LC,172.7,1,4.23,2.540501271
Accipiter_rufitorques,LC,209,1,4.468,2.917930515
Accipiter_rufiventris,LC,198,0,4.115,3.656366542
Accipiter_soloensis,LC,164.8,0,4.012,4.054207196
Accipiter_striatus,LC,130.6,0,5.473,4.517968582
Accipiter_superciliosus,LC,96.4,0,3.909,1.469921333
Accipiter_tachiro,LC,290.2,0,5.194,3.2832
Accipiter_toussenelii,LC,249.3,0,4.204,NA
Accipiter_trinotatus,LC,146,1,3.996,1.771457422
Accipiter_trivirgatus,LC,265,0,5.017,2.55272603
Accipiter_ventralis,LC,233,0,5.473,NA
Accipiter_virgatus,LC,117,0,3.457,2.993253935
Aceros_cassidix,VU,2360,1,8.236,1.975818736
Aceros_comatus,EN,1470,0,8.339,1.944075088
Aceros_corrugatus,EN,1590,0,7.467,1.782053525
Aceros_everetti,EN,1090,1,7.686,1.767688679
Aceros_leucocephalus,NT,1086,1,7.318,1
Aceros_narcondami,VU,697.2,1,6.641,1.672806067
Aceros_nipalensis,VU,2385,0,9.551,1.469921333
Aceros_plicatus,LC,1703.8,0.5,8.58,2.490397499
Aceros_subruficollis,VU,2042,0,8.537,1
Aceros_undulatus,VU,2214.6,0,8.666,1.469921333
Aceros_waldeni,CR,1146,1,7.779,1.469921333
Achaetops_pycnopygius,LC,28.3,0,3.131,2.667647059
Acridotheres_albocinctus,LC,98.9,0,2.968,2.236419542
Acridotheres_cinereus,VU,98.9,1,2.995,1.949678174
Acridotheres_cristatellus,LC,116.3,0,2.709,3.054294362
Acridotheres_fuscus,LC,82.8,0,2.675,2.275194742
Acridotheres_ginginianus,LC,72,0,2.307,4.118095238
Acridotheres_grandis,LC,98.9,0,2.782,3.06972347
Acridotheres_tristis,LC,116.4,0,3.212,4.120743881
Acrobatornis_fonsecai,VU,13.7,0,2.507,1.633282905
Acrocephalus_aedon,LC,22.4,0,2.216,4.213998182
Acrocephalus_aequinoctialis,EN,25,1,3.57,1
Acrocephalus_agricola,LC,9.6,0,2.184,3.118236473
Acrocephalus_arundinaceus,LC,30,0,2.698,4.942418426
Acrocephalus_atyphus,LC,30,1,3.579,2.525798526
Acrocephalus_australis,LC,17.7,0,2.948,3.260111576
Acrocephalus_baeticatus,LC,10.2,0,2.848,NA
Acrocephalus_bistrigiceps,LC,8.7,0,2.136,3.091924079
Acrocephalus_brevipennis,VU,16,1,3.02,3.510193744
Acrocephalus_caffer,VU,43.8,1,2.74,2.134120572
Acrocephalus_concinens,LC,8.3,0,2.184,2.553816672
Acrocephalus_dumetorum,LC,11.2,0,2.269,4.622641509
Acrocephalus_familiaris,CR,18.3,1,3.195,1
Acrocephalus_gracilirostris,LC,14.4,0,3.515,3.91718946
Acrocephalus_griseldis,EN,16.7,0,2.688,7.569373794
Acrocephalus_kerearako,NT,22.5,1,3.021,2.850192061
Acrocephalus_luscinius,CR,30.6,1,3.0178,3.765254846
Acrocephalus_melanopogon,LC,10.9,0,2.255,1.921649485
Acrocephalus_mendanae,LC,36.3,1,3.189,2.254256921
Acrocephalus_newtoni,LC,17,1,2.886,2.686638388
Acrocephalus_orinus,LC,24.2,0,2.786,NA
Acrocephalus_paludicola,VU,11.6,0,2.226,1.827777778
Acrocephalus_palustris,LC,11.5,0,2.298,5.574543312
Acrocephalus_rehsei,VU,20.1,1,3.325,2.555754449
Acrocephalus_rimatarae,CR,26.5,1,3.108,1.943021998
Acrocephalus_rodericanus,NT,11.8,1,2.887,2.6127635
Acrocephalus_rufescens,LC,22.7,0,3.243,1.87007874
Acrocephalus_schoenobaenus,LC,11.8,0,2.292,4.292572464
Acrocephalus_scirpaceus,LC,12.3,0,2.848,3.995256167
Acrocephalus_sechellensis,NT,15.9,1,6.715,1
Acrocephalus_sorghophilus,CR,8.2,1,2.747,1.784041286
Acrocephalus_stentoreus,LC,24.2,0,2.461,4.9150855
Acrocephalus_syrinx,LC,34,1,3.279,2.599768557
Acrocephalus_taiti,VU,24.3,1,4.593,1
Acrocephalus_tangorum,VU,8,0,2.439,2.491634492
Acrocephalus_vaughani,EN,24.4,1,3.351,2.23341337
Acropternis_orthonyx,LC,89.9,0,3.894,1
Acryllium_vulturinum,LC,1330,0,2.541,2.931964669
Actenoides_bougainvillei,EN,188,1,4.39,1.469921333
Actenoides_concretus,NT,73.5,0,5.188,1.469921333
Actenoides_hombroni,VU,117,1,4.389,1.469921333
Actenoides_lindsayi,LC,92.8,1,4.15,2.025653724
Actenoides_monachus,NT,150,1,4.1155,1
Actenoides_princeps,NT,105,1,3.7615,1.469921333
Actinodura_egertoni,LC,36,0,2.947,2.084286011
Actinodura_morrisoniana,LC,24,0.5,2.806,1.895112698
Actinodura_nipalensis,LC,43.9,0,3.769,2.515845393
Actinodura_ramsayi,LC,38.4,0,3.062,2.46
Actinodura_sodangorum,NT,38.4,0,3.135,3.014772385
Actinodura_souliei,LC,39.3,0,3.072,1
Actinodura_waldeni,LC,46.7,0,3.926,1.735857267
Actitis_hypoleucos,LC,48,0,4.422,8.740989909
Actitis_macularius,LC,40.4,0,3.656,4.962999507
Actophilornis_africanus,LC,189.1,0,4.742,6.470484581
Actophilornis_albinucha,EN,239,1,4.318,3.530815109
Adelomyia_melanogenys,LC,4.9,0,2.039,1
Aechmophorus_clarkii,LC,1090.9,0,4.814,1
Aechmophorus_occidentalis,LC,1137,0,5.332,1
Aegithalos_caudatus,LC,8.6,0,2.393,4.815384615
Aegithalos_concinnus,LC,6.1,0,2.393,3.589476532
Aegithalos_fuliginosus,LC,5.7,0,1.985,1.520179372
Aegithalos_iouschistos,LC,7,0,2.393,3.178294574
Aegithalos_leucogenys,LC,6.7,0,2.011,2.140827109
Aegithalos_niveogularis,LC,7.8,0,2.76,1.735857267
Aegithina_lafresnayei,LC,12,0,2.433,1
Aegithina_nigrolutea,LC,11.8,0,2.566,1.768228445
Aegithina_tiphia,LC,12,0,2.434,3.678480541
Aegithina_viridissima,NT,13.4,0,2.775,1.771457422
Aegolius_acadicus,LC,100.7,0,2.618,4.493243243
Aegolius_funereus,LC,137.2,0,4.116,2.52142206
Aegolius_harrisii,LC,120,0,4.263,3.92
Aegolius_ridgwayi,LC,80,0,2.568,1
Aegotheles_albertisi,LC,35.2,0.5,3.159,2.406828466
Aegotheles_archboldi,LC,30.6,0.5,3.096,1
Aegotheles_bennettii,LC,60,0.5,3.143,1
Aegotheles_crinifrons,LC,136,1,4.182,1.944075088
Aegotheles_cristatus,LC,42.8,0,3.114,3.476956897
Aegotheles_insignis,LC,78.5,0.5,3.772,1
Aegotheles_savesi,CR,52,1,3.441,1.469921333
Aegotheles_tatei,DD,52,0.5,3.487,NA
