species,dr
Abeillia_abeillei,0.18579792
Abroscopus_albogularis,0.111604887
Abroscopus_schisticeps,0.088446063
Abroscopus_superciliaris,0.082489151
Aburria_aburri,0.169516935
Acanthagenys_rufogularis,0.096891806
Acanthidops_bairdii,0.137306445
Acanthisitta_chloris,0.020315692
Acanthiza_apicalis,0.098918885
Acanthiza_chrysorrhoa,0.082457633
Acanthiza_ewingii,0.127182146
Acanthiza_inornata,0.14547454
Acanthiza_iredalei,0.175427141
Acanthiza_katherina,0.203648564
Acanthiza_lineata,0.072614695
Acanthiza_murina,0.119027563
Acanthiza_nana,0.119027563
Acanthiza_pusilla,0.203648564
Acanthiza_reguloides,0.14547454
Acanthiza_robustirostris,0.175427141
Acanthiza_uropygialis,0.116687694
Acanthorhynchus_superciliosus,0.057415601
Acanthorhynchus_tenuirostris,0.057415601
Acanthornis_magna,0.054894144
Accipiter_albogularis,0.150651006
Accipiter_badius,0.168202489
Accipiter_bicolor,0.139640089
Accipiter_brachyurus,0.139544824
Accipiter_brevipes,0.09482543
Accipiter_butleri,0.103702148
Accipiter_castanilius,0.098815092
Accipiter_chilensis,0.105606782
Accipiter_chionogaster,0.129088769
Accipiter_cirrocephalus,0.117209892
Accipiter_collaris,0.116581386
Accipiter_cooperii,0.150797922
Accipiter_erythrauchen,0.111725014
Accipiter_erythronemius,0.196040953
Accipiter_erythropus,0.107781068
Accipiter_fasciatus,0.123867891
Accipiter_francesiae,0.10163767
Accipiter_gentilis,0.094441866
Accipiter_griseiceps,0.113951546
Accipiter_gularis,0.251876608
Accipiter_gundlachi,0.106252479
Accipiter_haplochrous,0.125501678
Accipiter_henicogrammus,0.117833742
Accipiter_henstii,0.097568795
Accipiter_imitator,0.143699861
Accipiter_luteoschistaceus,0.137222082
Accipiter_madagascariensis,0.108800262
Accipiter_melanochlamys,0.130145062
Accipiter_melanoleucus,0.108867096
Accipiter_meyerianus,0.122659056
Accipiter_minullus,0.166966648
Accipiter_nanus,0.13769167
Accipiter_nisus,0.135838773
Accipiter_novaehollandiae,0.153191138
Accipiter_ovampensis,0.118513662
Accipiter_poliocephalus,0.095340932
Accipiter_poliogaster,0.111040841
Accipiter_princeps,0.113880045
Accipiter_rhodogaster,0.105138884
Accipiter_rufitorques,0.112008745
Accipiter_rufiventris,0.157793304
Accipiter_soloensis,0.102319415
Accipiter_striatus,0.147160331
Accipiter_superciliosus,0.092448649
Accipiter_tachiro,0.085160658
Accipiter_toussenelii,0.099635303
Accipiter_trinotatus,0.141753161
Accipiter_trivirgatus,0.082966219
Accipiter_ventralis,0.12095004
Accipiter_virgatus,0.247560316
Aceros_cassidix,0.081078953
Aceros_comatus,0.049099338
Aceros_corrugatus,0.087360077
Aceros_everetti,0.090329044
Aceros_leucocephalus,0.071712035
Aceros_narcondami,0.088858345
Aceros_nipalensis,0.053820785
Aceros_plicatus,0.126965317
Aceros_subruficollis,0.085459649
Aceros_undulatus,0.125751141
Aceros_waldeni,0.096642238
Achaetops_pycnopygius,0.064688541
Acridotheres_albocinctus,0.687029053
Acridotheres_cinereus,0.726059502
Acridotheres_cristatellus,1.109914631
Acridotheres_fuscus,0.726059502
Acridotheres_ginginianus,0.346271627
Acridotheres_grandis,1.109914631
Acridotheres_tristis,0.346271627
Acrobatornis_fonsecai,0.137827791
Acrocephalus_aedon,0.105423811
Acrocephalus_aequinoctialis,0.723685727
Acrocephalus_agricola,0.151539281
Acrocephalus_arundinaceus,0.202280394
Acrocephalus_atyphus,1.426408992
Acrocephalus_australis,0.72283265
Acrocephalus_baeticatus,0.247751572
Acrocephalus_bistrigiceps,0.132995747
Acrocephalus_brevipennis,0.398958037
Acrocephalus_caffer,0.961477944
Acrocephalus_concinens,0.196702558
Acrocephalus_dumetorum,0.165385813
Acrocephalus_familiaris,0.419487091
Acrocephalus_gracilirostris,0.232512763
