"species","Beak.Length_Culmen","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Tail.Length"
"Accipiter_albogularis",27.7,10.6,14.7,62,235.2,81.8,169
"Accipiter_badius",20.6,8.8,11.6,43,186.7,62.5,140.6
"Accipiter_bicolor",26.5,9.2,13.5,57.5,231.8,46.4,188.4
"Accipiter_brachyurus",22.5,8.9,11.9,61.2,202.2,64.1,140.8
"Accipiter_brevipes",21.1,8.7,11.1,46.4,217.6,87.8,153.5
"Accipiter_butleri",20,6.6,12,48.7,166,42.9,127
"Accipiter_castanilius",20.5,8.3,10.9,52.6,163.5,38.9,135.4
"Accipiter_chilensis",23.2,8,11.8,58.8,227,69.2,183.8
"Accipiter_chionogaster",18.2,7.5,9.7,51.8,181,60.5,137
"Accipiter_cirrocephalus",19.2,7.7,9.6,60.3,213,81.3,155.4
"Accipiter_collaris",20,8.6,11,43.6,165.9,49.5,125
"Accipiter_cooperii",25.4,8.6,13.2,62,241.2,77.8,188.4
"Accipiter_erythrauchen",21.1,8.6,11.2,59.5,191.2,58.9,154.8
"Accipiter_erythronemius",17.6,6.6,8.3,46.8,181.6,53.2,131.6
"Accipiter_erythropus",17.6,7.2,9.6,43,154.6,40.9,104.4
"Accipiter_fasciatus",28.5,11.2,15.2,71.9,269.9,103.6,206
"Accipiter_francesiae",20.2,8.7,10.7,48.1,155.8,43.2,127.5
"Accipiter_gentilis",33.7,11.6,18,67.3,337.6,122.6,241.1
"Accipiter_griseiceps",24.1,8.8,12.4,52,187.2,50,141.2
"Accipiter_gularis",23.3,6.6,9.1,43.6,162.6,54.2,106.4
"Accipiter_gundlachi",26,8.3,16.3,71.3,228,61.8,223
"Accipiter_haplochrous",23.7,9.6,13.2,58.9,227.8,74.5,155
"Accipiter_henicogrammus",27.9,10,13.6,65.1,230.2,72,190
"Accipiter_henstii",32.6,11.8,17.2,75,290.5,78,245
"Accipiter_imitator",26.4,9.1,12.2,49.6,200,60,161
"Accipiter_luteoschistaceus",NA,7.8,11.9,51.5,188,57,146
"Accipiter_madagascariensis",19.7,7.4,9.4,58,190.8,54.5,149.5
"Accipiter_melanochlamys",25.9,11,13.9,62.7,228.6,75,164.8
"Accipiter_melanoleucus",29.6,10.3,16.3,75.8,302.8,107.2,219.4
"Accipiter_meyerianus",35,12.6,18.6,75.4,309.5,102,200
"Accipiter_minullus",16.5,6.6,8.8,41.3,150.4,44.6,105.2
"Accipiter_nanus",17.6,7.6,10.1,46.6,152.4,44.9,109
"Accipiter_nisus",19.6,8.4,10,53.6,207.4,74.2,155.5
"Accipiter_novaehollandiae",29.2,10.6,15.3,61.8,235.5,69.8,164.9
"Accipiter_ovampensis",20.5,7.5,10.3,49.4,222.4,86.2,155
"Accipiter_poliocephalus",25,10.1,13.7,60.3,210.5,67.8,157.2
"Accipiter_poliogaster",27.7,8,13.2,52.4,240.4,72.6,174.6
"Accipiter_princeps",33.6,13.8,17.8,68,266.3,77.8,192.3
"Accipiter_rhodogaster",20.5,7.9,10.8,53.4,172.6,51.6,125.8
"Accipiter_rufitorques",26,10.3,13.7,59.2,217.6,73.5,146
"Accipiter_rufiventris",20.3,7.8,10,54.2,218.6,83,165.8
"Accipiter_soloensis",25.6,8.6,9.7,39.5,187.8,73.1,123.4
"Accipiter_striatus",19.4,8.7,10.4,49.8,184.2,60,144.2
"Accipiter_superciliosus",19.4,6.7,10.4,37.4,146.4,38.6,104.6
"Accipiter_tachiro",18,9.8,12.3,61,222.8,55.6,180.3
"Accipiter_toussenelii",24.4,9.2,11.9,62.1,189,48.2,157.2
"Accipiter_trinotatus",20.4,8.6,11.2,48.2,162.9,43,128.8
